match_key,unique_id,LMK_KEY,geocode_query,latitude,longitude,display_name,geocode_status,distance_to_prison_m
CV130HA|89 MANOR ROAD BARLESTONE NUNEATON,{152AB733-EFC4-E651-E063-4704A8C061D9},f36374e9d20c65acead4559aea6fcb5c57a96df0775110776e9128fd97cb32ee,"89 MANOR ROAD BARLESTONE NUNEATON, CV13 0HA, United Kingdom",,,,no_result,
CV130HY|8 MANOR ROAD BARLESTONE NUNEATON,{12A8BAB6-5876-2125-E063-4804A8C08CC1},7447c72e0115bfa5eda888221db7016882e4213a4c04e66126dac49ce2478fa4,"8 MANOR ROAD BARLESTONE NUNEATON, CV13 0HY, United Kingdom",,,,no_result,
DE127FN|1 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,{0E082197-0720-5C09-E063-4704A8C0A10E},7b4999dd55ed5a63a38949f9093e42e66dcd880a854d80f757bdbe1ebae60bb1,"1 ORCHARD CLOSE DONISTHORPE SWADLINCOTE, DE12 7FN, United Kingdom",,,"",no_result,
DE127FN|2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,{0E082197-73E1-5C09-E063-4704A8C0A10E},044fa4876976c1fb6ab484341b8744beb63d190172e4e85d8cb6fe8c88b0f4ca,"2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE, DE12 7FN, United Kingdom",,,"",no_result,
DE127FN|2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,{34222872-7D1A-4D2B-E063-4704A8C07853},044fa4876976c1fb6ab484341b8744beb63d190172e4e85d8cb6fe8c88b0f4ca,"2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE, DE12 7FN, United Kingdom",,,"",no_result,
DE127FN|3 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,{045A1898-C312-9A24-E063-4804A8C048EA},46fabf5fa928ecac7622d731bf7bd28bb3c8e3ae7a08e558ca7f0f1b0932ca07,"3 ORCHARD CLOSE DONISTHORPE SWADLINCOTE, DE12 7FN, United Kingdom",,,"",no_result,
DE738AZ|27 ASHBY ROAD BREEDON ON THE HILL DERBY,{237B17FE-2B11-22AC-E063-4804A8C0EA3A},b82c5c4b878c0a7e159015beee292b963d0a2ce04255810a322388bece316153,"27 ASHBY ROAD BREEDON ON THE HILL DERBY, DE73 8AZ, United Kingdom",,,"",no_result,
LE100AH|26 CHESSHER STREET HINCKLEY,{09266DDC-62E6-AF90-E063-4704A8C02087},ab2278a5aa20342965f1773ad8340fa30b8c8ccbd293edeb32782923c55b5bbc,"26 CHESSHER STREET HINCKLEY, LE10 0AH, United Kingdom",52.5427605,-1.3759071,"Chessher Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0AH, United Kingdom",ok,16266.9876760524
LE100AH|26 CHESSHER STREET HINCKLEY,{03783642-789C-4B6A-A8C2-3AA2895FE264},ab2278a5aa20342965f1773ad8340fa30b8c8ccbd293edeb32782923c55b5bbc,"26 CHESSHER STREET HINCKLEY, LE10 0AH, United Kingdom",52.5427605,-1.3759071,"Chessher Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0AH, United Kingdom",ok,16266.9876760524
LE100AH|26 CHESSHER STREET HINCKLEY,{4719B9B2-3AFF-48F8-98AD-18D7F5563908},ab2278a5aa20342965f1773ad8340fa30b8c8ccbd293edeb32782923c55b5bbc,"26 CHESSHER STREET HINCKLEY, LE10 0AH, United Kingdom",52.5427605,-1.3759071,"Chessher Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0AH, United Kingdom",ok,16266.9876760524
LE100AS|9 MANOR STREET HINCKLEY,{64342BFE-71D8-422C-E053-6C04A8C0FB8A},14c4e5997dee32f7d70623ccd538e82f661306cfbc3a0dbd67844796024d1457,"9 MANOR STREET HINCKLEY, LE10 0AS, United Kingdom",52.5439235,-1.3753408,"Manor Street, Hinckley, Hinckley and Bosworth, Leicestershire, England, LE10 0AS, United Kingdom",ok,16193.5420487639
