match_method,match_count_for_key,match_score,match_key,postcode_key,address_key,epc_address_key,ppd_address_key,epc_source,epc_file,lmk_key,uprn,inspection_date,lodgement_date,postcode,epc_address,ppd_id,deed_date,price_paid,ppd_address,district,county
exact_normalized_postcode_address,1,1,CV130HA|89 MANOR ROAD BARLESTONE NUNEATON,CV130HA,89 MANOR ROAD BARLESTONE NUNEATON,89 MANOR ROAD BARLESTONE NUNEATON,89 MANOR ROAD BARLESTONE NUNEATON,domestic-E07000132-Hinckley-and-Bosworth,input/domestic-E07000132-Hinckley-and-Bosworth/certificates.csv,f36374e9d20c65acead4559aea6fcb5c57a96df0775110776e9128fd97cb32ee,100030531815,2023-02-11,2023-04-11,CV13 0HA,"89 Manor Road, Barlestone, NUNEATON",{152AB733-EFC4-E651-E063-4704A8C061D9},2023-07-24 00:00,255000,89 MANOR ROAD BARLESTONE NUNEATON,HINCKLEY AND BOSWORTH,LEICESTERSHIRE
exact_normalized_postcode_address,1,1,CV130HY|8 MANOR ROAD BARLESTONE NUNEATON,CV130HY,8 MANOR ROAD BARLESTONE NUNEATON,8 MANOR ROAD BARLESTONE NUNEATON,8 MANOR ROAD BARLESTONE NUNEATON,domestic-E07000132-Hinckley-and-Bosworth,input/domestic-E07000132-Hinckley-and-Bosworth/certificates.csv,7447c72e0115bfa5eda888221db7016882e4213a4c04e66126dac49ce2478fa4,100030531736,2023-03-13,2023-05-17,CV13 0HY,"8 Manor Road, Barlestone, NUNEATON",{12A8BAB6-5876-2125-E063-4804A8C08CC1},2023-11-10 00:00,245000,8 MANOR ROAD BARLESTONE NUNEATON,HINCKLEY AND BOSWORTH,LEICESTERSHIRE
exact_normalized_postcode_address,1,1,DE127FN|1 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,DE127FN,1 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,1 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,1 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,domestic-E07000134-North-West-Leicestershire,input/domestic-E07000134-North-West-Leicestershire/certificates.csv,7b4999dd55ed5a63a38949f9093e42e66dcd880a854d80f757bdbe1ebae60bb1,10095739194,2021-06-10,2021-11-29,DE12 7FN,"1 Orchard Close, Donisthorpe, Swadlincote",{0E082197-0720-5C09-E063-4704A8C0A10E},2022-03-29 00:00,560000,1 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE
exact_normalized_postcode_address,2,1,DE127FN|2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,DE127FN,2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,domestic-E07000134-North-West-Leicestershire,input/domestic-E07000134-North-West-Leicestershire/certificates.csv,044fa4876976c1fb6ab484341b8744beb63d190172e4e85d8cb6fe8c88b0f4ca,10095739195,2021-06-10,2021-11-29,DE12 7FN,"2 Orchard Close, Donisthorpe, Swadlincote",{0E082197-73E1-5C09-E063-4704A8C0A10E},2021-02-05 00:00,450000,2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE
exact_normalized_postcode_address,2,1,DE127FN|2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,DE127FN,2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,domestic-E07000134-North-West-Leicestershire,input/domestic-E07000134-North-West-Leicestershire/certificates.csv,044fa4876976c1fb6ab484341b8744beb63d190172e4e85d8cb6fe8c88b0f4ca,10095739195,2021-06-10,2021-11-29,DE12 7FN,"2 Orchard Close, Donisthorpe, Swadlincote",{34222872-7D1A-4D2B-E063-4704A8C07853},2022-05-20 00:00,575000,2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE
exact_normalized_postcode_address,1,1,DE127FN|3 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,DE127FN,3 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,3 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,3 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,domestic-E07000134-North-West-Leicestershire,input/domestic-E07000134-North-West-Leicestershire/certificates.csv,46fabf5fa928ecac7622d731bf7bd28bb3c8e3ae7a08e558ca7f0f1b0932ca07,10095739196,2021-06-10,2021-11-29,DE12 7FN,"3 Orchard Close, Donisthorpe, Swadlincote",{045A1898-C312-9A24-E063-4804A8C048EA},2021-12-22 00:00,525000,3 ORCHARD CLOSE DONISTHORPE SWADLINCOTE,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE
exact_normalized_postcode_address,1,1,DE738AZ|27 ASHBY ROAD BREEDON ON THE HILL DERBY,DE738AZ,27 ASHBY ROAD BREEDON ON THE HILL DERBY,27 ASHBY ROAD BREEDON ON THE HILL DERBY,27 ASHBY ROAD BREEDON ON THE HILL DERBY,domestic-E07000134-North-West-Leicestershire,input/domestic-E07000134-North-West-Leicestershire/certificates.csv,b82c5c4b878c0a7e159015beee292b963d0a2ce04255810a322388bece316153,100030570239,2021-10-20,2021-10-22,DE73 8AZ,"27 Ashby Road, Breedon-On-The-Hill, DERBY",{237B17FE-2B11-22AC-E063-4804A8C0EA3A},2023-04-21 00:00,230000,27 ASHBY ROAD BREEDON ON THE HILL DERBY,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE
exact_normalized_postcode_address,3,1,LE100AH|26 CHESSHER STREET HINCKLEY,LE100AH,26 CHESSHER STREET HINCKLEY,26 CHESSHER STREET HINCKLEY,26 CHESSHER STREET HINCKLEY,domestic-E07000132-Hinckley-and-Bosworth,input/domestic-E07000132-Hinckley-and-Bosworth/certificates.csv,ab2278a5aa20342965f1773ad8340fa30b8c8ccbd293edeb32782923c55b5bbc,100030499049,2023-03-14,2023-08-04,LE10 0AH,"26 Chessher Street, HINCKLEY",{09266DDC-62E6-AF90-E063-4704A8C02087},2023-08-29 00:00,152500,26 CHESSHER STREET HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE
exact_normalized_postcode_address,3,1,LE100AH|26 CHESSHER STREET HINCKLEY,LE100AH,26 CHESSHER STREET HINCKLEY,26 CHESSHER STREET HINCKLEY,26 CHESSHER STREET HINCKLEY,domestic-E07000132-Hinckley-and-Bosworth,input/domestic-E07000132-Hinckley-and-Bosworth/certificates.csv,ab2278a5aa20342965f1773ad8340fa30b8c8ccbd293edeb32782923c55b5bbc,100030499049,2023-03-14,2023-08-04,LE10 0AH,"26 Chessher Street, HINCKLEY",{03783642-789C-4B6A-A8C2-3AA2895FE264},2014-12-19 00:00,105000,26 CHESSHER STREET HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE
exact_normalized_postcode_address,3,1,LE100AH|26 CHESSHER STREET HINCKLEY,LE100AH,26 CHESSHER STREET HINCKLEY,26 CHESSHER STREET HINCKLEY,26 CHESSHER STREET HINCKLEY,domestic-E07000132-Hinckley-and-Bosworth,input/domestic-E07000132-Hinckley-and-Bosworth/certificates.csv,ab2278a5aa20342965f1773ad8340fa30b8c8ccbd293edeb32782923c55b5bbc,100030499049,2023-03-14,2023-08-04,LE10 0AH,"26 Chessher Street, HINCKLEY",{4719B9B2-3AFF-48F8-98AD-18D7F5563908},2013-06-28 00:00,70000,26 CHESSHER STREET HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE
