unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
{79A74E21-C7E9-1289-E053-6B04A8C01627},175000,2018-09-28 00:00,LE10 0LR,S,N,F,60,"",STRATHMORE ROAD,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{79A74E21-C9E8-1289-E053-6B04A8C01627},175000,2018-09-27 00:00,LE65 2NJ,S,N,F,21,"",WOODSIDE,"",ASHBY-DE-LA-ZOUCH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{79A74E21-C7F9-1289-E053-6B04A8C01627},125500,2018-09-21 00:00,LE10 1SN,S,N,F,92,"",ASHBY ROAD,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{CD5A9DCC-0EED-310A-E053-6C04A8C00A1F},115000,2018-10-29 00:00,LE9 7DT,F,N,L,16,"",BURGESS DRIVE,EARL SHILTON,LEICESTER,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{B82222ED-036E-6691-E053-6B04A8C02FB2},145000,2018-06-27 00:00,LE67 6HN,T,N,F,41,"",LEICESTER ROAD,"",IBSTOCK,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{DE2D0CE0-8B65-51EE-E053-6C04A8C00671},2050000,2018-01-31 00:00,LE13 0RY,O,N,F,2,"",EASTON CLOSE,"",MELTON MOWBRAY,MELTON,LEICESTERSHIRE,B,A
{8A78B2AF-BF43-5CB0-E053-6B04A8C0F504},135000,2018-07-26 00:00,LE10 1HL,S,N,F,74A,"",LONDON ROAD,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{75050A86-1364-9A88-E053-6B04A8C02390},247500,2018-07-20 00:00,LE11 3HL,S,N,F,12,"",WREN CLOSE,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{75050A86-1373-9A88-E053-6B04A8C02390},218000,2018-07-23 00:00,LE16 9EN,O,N,F,43,"",LATHKILL STREET,"",MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,B,A
{8355F009-26B2-55C5-E053-6B04A8C0D090},145000,2018-10-17 00:00,LE11 2EG,D,N,F,8C,"",PARK STREET,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{8355F009-282C-55C5-E053-6B04A8C0D090},138000,2018-11-30 00:00,LE17 4NL,F,N,L,WILLOW COURT,7,CENTRAL AVENUE,"",LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,A,A
{7E86B6FB-B09D-458C-E053-6B04A8C0C84C},185000,2018-11-19 00:00,LE11 5DW,T,N,F,100,"",LEOPOLD STREET,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,B,A
{773788C2-D6B2-2CE4-E053-6C04A8C05E57},195000,2018-08-24 00:00,LE11 1LT,D,N,F,59,"",BRUSH DRIVE,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{773788C2-D4FF-2CE4-E053-6C04A8C05E57},95000,2018-08-17 00:00,LE18 4TR,F,N,L,34,"",JASMINE COURT,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{773788C2-D715-2CE4-E053-6C04A8C05E57},210000,2018-07-04 00:00,LE65 2JB,T,N,F,19,"",DREW COURT,"",ASHBY-DE-LA-ZOUCH,NORTH WEST LEICESTERSHIRE,LEICESTERSHIRE,A,A
{773788C2-D745-2CE4-E053-6C04A8C05E57},165000,2018-06-29 00:00,LE16 9GN,F,N,L,18,"",FRESHMAN WAY,"",MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,A
{773788C2-D5B6-2CE4-E053-6C04A8C05E57},579000,2018-08-20 00:00,LE11 3PA,D,N,F,1,"",LOWER GREEN,"",LOUGHBOROUGH,CHARNWOOD,LEICESTERSHIRE,A,A
{773788C2-D602-2CE4-E053-6C04A8C05E57},160000,2018-08-14 00:00,LE18 2BY,S,N,F,34,"",SEATON ROAD,"",WIGSTON,OADBY AND WIGSTON,LEICESTERSHIRE,A,A
{773788C2-D61E-2CE4-E053-6C04A8C05E57},105000,2018-07-23 00:00,LE10 0BY,F,N,L,30,"",TRINITY COURT,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
{2131FCF6-D8E4-86E8-E063-4804A8C0372B},125000,2018-06-01 00:00,LE17 4DY,O,N,F,"THE OLD MIGISTRATES COURT, 5","",GILMORTON ROAD,"",LUTTERWORTH,HARBOROUGH,LEICESTERSHIRE,B,A
{726BF13A-F66C-0A46-E053-6C04A8C01D0D},340000,2018-06-08 00:00,LE16 8BG,D,N,F,11,"",ROOKWELL DRIVE,"",MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,A
{726BF13A-F684-0A46-E053-6C04A8C01D0D},415000,2018-07-06 00:00,LE16 9HD,T,N,F,81,"",NORTHAMPTON ROAD,"",MARKET HARBOROUGH,HARBOROUGH,LEICESTERSHIRE,A,A
{726BF13A-F6B6-0A46-E053-6C04A8C01D0D},201500,2018-06-29 00:00,LE10 0FL,D,N,F,35,"",APPLEBEES MEADOW,"",HINCKLEY,HINCKLEY AND BOSWORTH,LEICESTERSHIRE,A,A
