query,latitude,longitude,display_name,geocode_status
"HMP Fosse Way, 1 Tigers Road, Wigston, Leicestershire, LE18 4TN, United Kingdom",52.5845722,-1.1452853,"HMP Fosse Way, 1, Tigers Road, Glen Parva, Wigston, Blaby, Leicestershire, England, LE18 4TN, United Kingdom",ok
"1 ORCHARD CLOSE DONISTHORPE SWADLINCOTE, DE12 7FN, United Kingdom",,,"",no_result
"2 ORCHARD CLOSE DONISTHORPE SWADLINCOTE, DE12 7FN, United Kingdom",,,"",no_result
"3 ORCHARD CLOSE DONISTHORPE SWADLINCOTE, DE12 7FN, United Kingdom",,,"",no_result
"27 ASHBY ROAD BREEDON ON THE HILL DERBY, DE73 8AZ, United Kingdom",,,"",no_result
"108 LEOPOLD STREET LOUGHBOROUGH, LE11 5DW, United Kingdom",52.7745076,-1.215888,"Leopold Street, Thorpe Acre, Loughborough, Charnwood, Leicestershire, England, LE11 5DP, United Kingdom",ok
"15 LOWER CHURCH STREET ASHBY-DE-LA-ZOUCH, LE65 1AB, United Kingdom",52.7476876,-1.4681134,"Lower Church Street, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1AB, United Kingdom",ok
"THE COACH HOUSE LOWER CHURCH STREET ASHBY-DE-LA-ZOUCH, LE65 1AB, United Kingdom",,,"",no_result
"3 PRIOR PARK ROAD ASHBY-DE-LA-ZOUCH, LE65 1BJ, United Kingdom",52.745721,-1.4695982,"Prior Park Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1BJ, United Kingdom",ok
"3 LOUDOUN COURT SOUTH STREET ASHBY-DE-LA-ZOUCH, LE65 1BQ, United Kingdom",,,"",no_result
"4 LOUDOUN COURT SOUTH STREET ASHBY-DE-LA-ZOUCH, LE65 1BQ, United Kingdom",,,"",no_result
"9 UPPER CHURCH STREET ASHBY-DE-LA-ZOUCH, LE65 1BX, United Kingdom",52.7481029,-1.4661651,"Upper Church Street, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1EJ, United Kingdom",ok
"3 NOTTINGHAM ROAD ASHBY-DE-LA-ZOUCH, LE65 1DJ, United Kingdom",52.7504992,-1.459507,"Nottingham Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1DN, United Kingdom",ok
"2 PRIORFIELDS ASHBY-DE-LA-ZOUCH, LE65 1EA, United Kingdom",52.7441273,-1.4621559,"Priorfields, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1EA, United Kingdom",ok
"40 UPPER PACKINGTON ROAD ASHBY-DE-LA-ZOUCH, LE65 1EF, United Kingdom",52.7428252,-1.464689,"Upper Packington Road, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1EF, United Kingdom",ok
"10 WOOD STREET ASHBY-DE-LA-ZOUCH, LE65 1EG, United Kingdom",52.7483208,-1.4674088,"8,10,14, Wood Street, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1AB, United Kingdom",ok
"43 WOOD STREET ASHBY-DE-LA-ZOUCH, LE65 1EL, United Kingdom",52.7488262,-1.4657812,"Wood Street, Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, LE65 1EL, United Kingdom",ok
